job,marital,education,default,housing,loan,poutcome,age_log,y
10,0,2,0,1,1,0,3.367295829986474,0
2,1,6,0,0,0,0,3.912023005428146,0
2,1,6,0,0,0,0,3.367295829986474,0
2,1,6,0,0,0,0,3.5553480614894135,0
3,1,1,1,0,0,0,3.6888794541139363,0
10,0,0,1,0,0,0,3.8066624897703196,0
1,0,1,0,1,1,0,3.5263605246161616,0
3,1,1,0,0,0,0,3.6375861597263857,0
3,1,6,0,0,0,0,3.6375861597263857,0
7,0,0,1,1,0,0,4.060443010546419,0
6,0,6,0,0,1,0,3.4339872044851463,0
3,0,0,1,0,0,0,3.5553480614894135,0
1,1,1,0,0,0,0,3.258096538021482,0
11,1,6,0,0,0,2,3.4339872044851463,1
8,2,6,0,0,0,0,3.2188758248682006,0
2,2,6,0,1,1,1,3.970291913552122,0
11,1,1,0,0,0,2,3.091042453358316,1
1,0,1,0,1,0,0,4.060443010546419,0
2,2,1,0,0,1,0,3.4965075614664802,0
1,1,1,0,1,0,0,3.4657359027997265,0
6,1,6,0,0,0,0,3.6375861597263857,0
2,0,6,0,2,2,0,3.4965075614664802,0
6,0,0,1,1,0,0,4.02535169073515,0
5,2,6,0,1,0,0,3.9889840465642745,0
2,0,6,0,0,1,0,3.367295829986474,0
2,0,6,0,1,0,0,3.6109179126442243,1
1,0,1,0,1,1,0,3.4965075614664802,0
3,0,0,0,0,0,0,3.6635616461296463,0
2,2,6,0,1,1,0,3.8501476017100584,1
3,0,0,0,0,0,0,4.07753744390572,0
3,0,1,0,0,0,0,3.4339872044851463,0
4,0,6,0,1,1,0,3.784189633918261,1
5,2,0,0,1,0,0,4.477336814478207,0
1,0,1,0,1,0,0,3.4011973816621555,0
3,0,0,0,0,0,0,3.6109179126442243,1
2,0,6,0,1,0,0,3.367295829986474,0
1,1,4,1,0,0,0,3.1354942159291497,0
3,2,3,0,1,0,0,3.6109179126442243,0
1,2,2,0,0,0,0,3.258096538021482,0
